Aggregate ID,Module ID,Gene Symbol
A28,M15.86,ANKRD22
A28,M15.86,EIF2AK2
A28,M15.86,ENDOGL1
A28,M15.86,FCGR1B
A28,M15.86,GALM
A28,M15.86,KIAA1618
A28,M15.86,MOV10
A28,M15.86,MT1A
A28,M15.86,PARP10
A28,M15.86,PRIC285
A28,M15.86,SP140
A28,M15.86,TIMM10
A28,M15.86,UBE2L6
