Aggregate ID,Module ID,Gene Symbol
A28,M8.3,EPSTI1
A28,M8.3,HERC5
A28,M8.3,HES4
A28,M8.3,IFI44
A28,M8.3,IFI44L
A28,M8.3,IFI6
A28,M8.3,IFIT1
A28,M8.3,IFIT3
A28,M8.3,ISG15
A28,M8.3,LY6E
A28,M8.3,MX1
A28,M8.3,OAS1
A28,M8.3,OAS2
A28,M8.3,OAS3
A28,M8.3,OASL
A28,M8.3,RSAD2
A28,M8.3,XAF1
