Aggregate ID,Module ID,Gene Symbol
A28,M15.127,CMPK2
A28,M15.127,IFI27
A28,M15.127,IFIT1
A28,M15.127,IFITM3
A28,M15.127,LAMP3
A28,M15.127,OAS1
A28,M15.127,OAS2
A28,M15.127,OASL
A28,M15.127,OTOF
A28,M15.127,SERPING1
A28,M15.127,TRIM6
