Aggregate ID,Module ID,Gene Symbol
A28,M15.64,ACOT9
A28,M15.64,ADRA1D
A28,M15.64,APOB48R
A28,M15.64,APOL2
A28,M15.64,C1GALT1
A28,M15.64,CCR1
A28,M15.64,COP1
A28,M15.64,DYNLT1
A28,M15.64,ECGF1
A28,M15.64,H2AFJ
A28,M15.64,ISG20
A28,M15.64,KIAA0319L
A28,M15.64,LBA1
A28,M15.64,NEXN
A28,M15.64,PSMB9
A28,M15.64,RHBDF2
A28,M15.64,SP100
A28,M15.64,TNFSF13B
A28,M15.64,TRIM38
A28,M15.64,TRIM56
A28,M15.64,UNC93B1
